,movieId,occurrences
0,1,57309
1,2,24228
2,3,11804
3,4,2523
4,5,11714
5,6,24588
6,7,12132
7,8,1344
8,9,3711
9,10,28265
10,11,17042
11,12,3741
12,13,1715
13,14,5509
14,15,2760
15,16,18404
16,17,19729
17,18,5374
18,19,21552
19,20,3840
20,21,22277
21,22,9237
22,23,4108
23,24,7450
24,25,20070
25,26,2549
26,27,1577
27,28,2950
28,29,8305
29,30,1166
30,31,9106
31,32,47054
32,33,65
33,34,31456
34,35,1352
35,36,19388
36,37,75
37,38,631
38,39,26230
39,40,797
40,41,4266
41,42,2300
42,43,2308
43,44,10629
44,45,8267
45,46,2889
46,47,50596
47,48,13461
48,49,228
49,50,55366
50,51,28
51,52,8543
52,53,137
53,54,919
54,55,851
55,56,65
56,57,2236
57,58,10483
58,59,181
59,60,5960
60,61,2088
61,62,18242
62,63,2336
63,64,1884
64,65,4663
65,66,2215
66,67,163
67,68,1124
68,69,4278
69,70,14118
70,71,1202
71,72,1179
72,73,2699
73,74,3235
74,75,526
75,76,3235
76,77,211
77,78,1129
78,79,5061
79,80,515
80,81,3007
81,82,2288
82,83,537
83,84,141
84,85,2441
85,86,3921
86,87,938
87,88,4730
88,89,3095
89,90,201
90,92,2114
91,93,1936
92,94,3760
93,95,20642
94,96,444
95,97,2615
96,98,83
97,99,668
98,100,3770
99,101,4438
100,102,1841
101,103,1046
102,104,19190
103,105,9006
104,106,125
105,107,6015
106,108,115
107,109,16
108,110,59184
109,111,29133
110,112,10958
111,113,990
112,114,230
113,115,43
114,116,875
115,117,1142
116,118,1030
117,119,246
118,120,142
119,121,764
120,122,3588
121,123,2607
122,124,298
123,125,3231
124,126,1329
125,127,41
126,128,71
127,129,172
128,130,42
129,131,169
130,132,1925
131,133,20
132,134,31
133,135,5932
134,136,90
135,137,206
136,138,123
137,139,36
138,140,4553
139,141,20757
140,142,37
141,143,14
142,144,4097
143,145,12796
144,146,551
145,147,4222
146,148,335
147,149,1007
148,150,48377
149,151,11595
150,152,638
151,153,31101
152,154,2889
153,155,1168
154,156,1521
155,157,2432
156,158,12589
157,159,2209
158,160,13853
159,161,22340
160,162,5633
161,163,14216
162,164,4011
163,165,33731
164,166,683
165,167,72
166,168,11309
167,169,3172
168,170,7721
169,171,1297
170,172,12156
171,173,14758
172,174,1932
173,175,4744
174,176,2203
175,177,2149
176,178,453
177,179,1119
178,180,8366
179,181,2539
180,182,636
181,183,581
182,184,313
183,185,23018
184,186,10419
185,187,875
186,188,2390
187,189,304
188,190,953
189,191,1555
190,192,79
191,193,7142
192,194,5459
193,195,2938
194,196,12993
195,197,99
196,198,8646
197,199,1507
198,200,315
199,201,343
200,202,414
201,203,5060
202,204,7882
203,205,1213
204,206,936
205,207,5018
206,208,27377
207,209,681
208,210,447
209,211,526
210,212,426
211,213,1753
212,214,890
213,215,6582
214,216,9048
215,217,940
216,218,3864
217,219,589
218,220,290
219,222,5374
220,223,24050
221,224,7809
222,225,11592
223,226,37
224,227,4189
225,228,436
226,229,2256
227,230,6729
228,231,31843
229,232,5620
230,233,3204
231,234,2952
232,235,15582
233,236,11357
234,237,5770
235,238,766
236,239,3368
237,240,779
238,241,536
239,242,1000
240,243,424
241,244,277
242,245,239
243,246,9739
244,247,7144
245,248,2866
246,249,4542
247,250,918
248,251,341
249,252,9280
250,253,27577
251,254,574
252,255,975
253,256,9442
254,257,3542
255,258,1596
256,259,1845
257,260,68717
258,261,9656
259,262,4008
260,263,368
261,264,163
262,265,10781
263,266,15759
264,267,3757
265,268,681
266,269,550
267,270,1185
268,271,1138
269,272,7136
270,273,6796
271,274,1135
272,275,1445
273,276,4968
274,277,8574
275,278,1038
276,279,846
277,280,4680
278,281,3588
279,282,10402
280,283,222
281,284,34
282,285,80
283,286,98
284,287,305
285,288,23259
286,289,2963
287,290,3749
288,292,24760
289,293,33680
290,294,777
291,295,420
292,296,79672
293,297,249
294,298,227
295,299,2389
296,300,18997
297,301,418
298,302,1453
299,303,6532
300,304,652
301,305,3105
302,306,7058
303,307,6616
304,308,5085
305,309,417
306,310,231
307,311,76
308,312,1200
309,313,1282
310,314,3775
311,315,10295
312,316,30910
313,317,15733
314,318,81482
315,319,6727
316,320,299
317,321,834
318,322,2800
319,324,431
320,325,951
321,326,1293
322,327,6691
323,328,2311
324,329,24615
325,330,1415
326,331,495
327,332,2038
328,333,10852
329,334,1495
330,335,384
331,336,267
332,337,17234
333,338,4341
334,339,22111
335,340,1330
336,341,352
337,342,10735
338,343,854
339,344,37453
340,345,9531
341,346,1033
342,347,1548
343,348,7399
344,349,27766
345,350,14696
346,351,3322
347,352,1228
348,353,16219
349,354,1146
350,355,9580
351,356,81491
352,357,26709
353,358,2075
354,359,256
355,360,1915
356,361,4809
357,362,6993
358,363,590
359,364,42745
360,365,1708
361,366,2660
362,367,34621
363,368,16475
364,369,1010
365,370,13958
366,371,3915
367,372,7415
368,373,3265
369,374,4953
370,375,230
371,376,10374
372,377,41302
373,378,2125
374,379,5362
375,380,41673
376,381,4476
377,382,5077
378,383,4717
379,384,694
380,385,116
381,386,333
382,387,648
383,388,509
384,389,187
385,390,841
386,391,397
387,392,253
388,393,2222
389,394,132
390,395,12
391,396,32
392,397,88
393,398,52
394,399,10
395,400,28
396,401,17
397,402,52
398,403,15
399,404,70
400,405,3357
401,406,66
402,407,1993
403,408,611
404,409,420
405,410,17836
406,411,105
407,412,4231
408,413,5737
409,414,829
410,415,2938
411,416,1634
412,417,3007
413,418,637
414,419,4219
415,420,13942
416,421,1631
417,422,1300
418,423,2184
419,424,706
420,425,791
421,426,3021
422,427,3078
423,428,4785
424,429,1403
425,430,237
426,431,8879
427,432,11729
428,433,1150
429,434,23089
430,435,13194
431,436,1185
432,437,1675
433,438,985
434,439,57
435,440,17918
436,441,8204
437,442,18088
438,443,548
439,444,1193
440,445,1743
441,446,3472
442,447,209
443,448,2743
444,449,642
445,450,2750
446,451,581
447,452,1082
448,453,874
449,454,24161
450,455,8275
451,456,892
452,457,49638
453,458,956
454,459,1036
455,460,834
456,461,815
457,462,179
458,463,369
459,464,3021
460,465,680
461,466,12947
462,467,664
463,468,6711
464,469,1213
465,470,440
466,471,10631
467,472,663
468,473,1292
469,474,17996
470,475,8580
471,476,212
472,477,4128
473,478,253
474,479,1136
475,480,64144
476,481,4993
477,482,2508
478,483,538
479,484,692
480,485,13156
481,486,559
482,487,564
483,488,525
484,489,2765
485,490,2935
486,491,4991
487,492,3038
488,493,3450
489,494,11284
490,495,685
491,496,383
492,497,13084
493,498,362
494,499,378
495,500,34194
496,501,1923
497,502,3454
498,503,131
499,504,1080
500,505,1224
501,506,1272
502,507,3109
503,508,19902
504,509,15998
505,510,822
506,511,1535
507,512,1176
508,513,521
509,514,4285
510,515,9940
511,516,3147
512,517,3298
513,518,1145
514,519,4697
515,520,14245
516,521,1987
517,522,1228
518,523,833
519,524,7233
520,525,153
521,526,121
522,527,60411
523,528,839
524,529,10037
525,530,30
526,531,7010
527,532,5555
528,533,3638
529,534,4460
530,535,5170
531,536,671
532,537,3085
533,538,4684
534,539,28137
535,540,4550
536,541,36702
537,542,3309
538,543,11396
539,544,2058
540,546,5371
541,547,761
542,548,2605
543,549,1326
544,550,3063
545,551,21940
546,552,12096
547,553,14333
548,554,463
549,555,15314
550,556,1152
551,558,1495
552,559,45
553,560,38
554,561,199
555,562,5787
556,563,313
557,564,307
558,565,831
559,566,139
560,567,363
561,568,339
562,569,1547
563,570,206
564,571,178
565,572,30
566,573,183
567,574,1276
568,575,2614
569,576,24
570,577,589
571,579,35
572,580,510
573,581,1756
574,582,119
575,583,247
576,584,28
577,585,8928
578,586,29540
579,587,28516
580,588,43373
581,589,57379
582,590,41615
583,591,29
584,592,44110
585,593,74127
586,594,17940
587,595,35723
588,596,12742
589,597,34234
590,598,146
591,599,3219
592,600,278
593,601,105
594,602,297
595,603,569
596,604,6
597,605,3255
598,606,1407
599,607,16
600,608,47823
601,609,2317
602,610,7289
603,611,1714
604,612,1477
605,613,2227
606,614,144
607,615,578
608,616,8197
609,617,504
610,618,343
611,619,663
612,620,39
613,621,299
614,623,34
615,625,25
616,626,598
617,627,1729
618,628,10950
619,629,23
620,630,200
621,631,2070
622,632,361
623,633,307
624,634,309
625,635,1005
626,636,34
627,637,5371
628,638,534
629,639,1057
630,640,2861
631,641,98
632,642,12
633,643,21
634,644,15
635,645,274
636,647,7345
637,648,37035
638,649,131
639,650,1233
640,651,40
641,652,73
642,653,13693
643,654,16
644,655,18
645,656,1138
646,657,36
647,658,47
648,659,454
649,660,112
650,661,9943
651,662,2646
652,663,3042
653,664,301
654,665,1269
655,666,161
656,667,998
657,668,854
658,670,740
659,671,5883
660,672,24
661,673,10707
662,674,3142
663,675,26
664,676,25
665,678,2479
666,679,88
667,680,1181
668,681,323
669,682,62
670,683,34
671,684,23
672,685,502
673,687,94
674,688,2700
675,690,72
676,691,1110
677,692,843
678,693,26
679,694,2535
680,695,768
681,696,114
682,697,1045
683,698,143
684,699,15
685,700,1132
686,701,102
687,702,406
688,703,335
689,704,1695
690,705,394
691,706,236
692,707,4201
693,708,13940
694,709,2720
695,710,1172
696,711,1989
697,712,172
698,713,127
699,714,3906
700,715,558
701,716,292
702,717,85
703,718,1033
704,719,7148
705,720,7719
706,721,15
707,722,312
708,723,36
709,724,8426
710,725,1426
711,726,491
712,727,24
713,728,3207
714,729,114
715,730,62
716,731,781
717,732,219
718,733,31979
719,734,54
720,735,1127
721,736,31040
722,737,4238
723,738,25
724,739,11
725,741,8381
726,742,1850
727,743,5784
728,744,34
729,745,12241
730,746,311
731,747,997
732,748,4958
733,749,39
734,750,26714
735,751,154
736,752,39
737,753,461
738,754,351
739,755,138
740,756,103
741,757,244
742,758,23
743,759,340
744,760,907
745,761,3536
746,762,8959
747,763,53
748,764,541
749,765,4775
750,766,1648
751,767,282
752,768,33
753,769,127
754,770,25
755,771,138
756,772,31
757,773,44
758,774,32
759,775,147
760,776,42
761,777,30
762,778,28702
763,779,475
764,780,48902
765,781,1878
766,782,2621
767,783,10676
768,784,14457
769,785,10260
770,786,15412
771,787,81
772,788,19138
773,789,44
774,790,98
775,791,102
776,792,43
777,793,109
778,794,99
779,795,96
780,796,42
781,797,104
782,798,2959
783,799,5867
784,800,6537
785,801,1540
786,802,12436
787,803,540
788,804,2081
